;Nazwisko ImiÍ ;Wiek ;ZawÛd/wykszta≥cenie ;Oznaczenie kandydata 
O≥taszyn;GROCHMAL BEATA JUSTYNA ;50;PRZEDSI BIORCA ; 
O≥taszyn;HA£ACZKIEWICZ KATARZYNA IWONA ;32;WYØSZE ;BEZPARTYJNY WROC£AW 
O≥taszyn;JO—CA JACEK WOJCIECH ;55;ARCHITEKT ;O£TASZYN - LUBI  TO! 
O≥taszyn;KAWA£KO BOGUS£AWA ILONA ;64;EKONOMISTA ;O£TASZYN-RAZEM 
O≥taszyn;KOWALSKA IWONA ELØBIETA ;54;RZECZNIK PRASOWY ;O£TASZYN - LUBI  TO! 
O≥taszyn;KOZ£OWSKA-LELITO MA£GORZATA ZENONA ;64;PRZEDSI BIORCA ;O£TASZYN - LUBI  TO! 
O≥taszyn;KUCFIR MACIEJ JAROS£AW ;52;WYØSZE TECHNICZNE;O£TASZYN-RAZEM 
O≥taszyn;KWAåNICA ANDRZEJ JERZY ;46;PRZEDSI BIORCA ;O£TASZYN - LUBI  TO! 
O≥taszyn;LEO—CZYK ANNA EWA ;43;LOGISTYK ;O£TASZYN-RAZEM 
O≥taszyn;MOCZU£OWSKI MARIAN  ;68;MECHANIK ;O£TASZYN-RAZEM 
O≥taszyn;PIOTROWSKI EUGENIUSZ RYSZARD ;63;INØYNIER BUDOWNICTWA ;O£TASZYN - LUBI  TO! 
O≥taszyn;PRZYBYLSKI PAWE£ PIOTR ;43;PRZEDSI BIORCA ;O£TASZYN - LUBI  TO! 
O≥taszyn;PU∆ ANTONI  ;75;EKONOMISTA ;O£TASZYN-RAZEM 
O≥taszyn;SAWI—SKA KRYSTYNA MARIA ;68;PRAWNIK ;O£TASZYN-RAZEM 
O≥taszyn;SKU£A EDYTA  ;32;PRAWNIK ;O£TASZYN-RAZEM 
O≥taszyn;URBAN ALICJA DANUTA ;66;EKONOMISTA ;O£TASZYN-RAZEM 
O≥taszyn;WAWRZY—SKA MA£GORZATA  ;75;HISTORYK ;O£TASZYN-RAZEM 
O≥taszyn;WIECH MIROS£AW ADAM ;61;KSI GOWY DORADCA PODATKOWY ; 
O≥taszyn;WILK SEBASTIAN DARIUSZ ;40;POLITOLOG ;O£TASZYN-RAZEM 
O≥taszyn;ZAWIåLAK JADWIGA  ;66;KOREKTOR ;O£TASZYN - LUBI  TO! 
OporÛw;BABISZEWSKA BARBARA  ;56;LEKARZ MED. ; 
OporÛw;BINKOWSKA DOBROS£AWA OLGA ;42;WYØSZE, FILOLOG ; 
OporÛw;CHARZEWSKA-MILLER JOLANTA MARIA ;65;SOCJOLOG ; 
OporÛw;CIECHANOWSKI-MIREK PATRYK  ;32;SPECJALISTA DS MARKETINGU INTERNETOWEGO ; 
OporÛw;DRAPELLA HERMANSDORFER ALINA  ;66;ARCHITEKT ; 
OporÛw;GONCIARZ SEBASTIAN JAN ;22;STUDENT ; 
OporÛw;HETMA—CZUK JAKUB KAJETAN ;29;INØYNIER SERWISU APARATURY MEDYCZNEJ ; 
OporÛw;IREK DAMIAN MICHA£ ;21;åREDNIE ; 
OporÛw;LORENC SEBASTIAN £UKASZ ;39;PRZEDSI BIORCA ; 
OporÛw;MARKO RENATA  ;49;WYØSZE, FILOLOG ; 
OporÛw;MR”Z-GORGO— BARBARA NATALIA ;35;WYK£ADOWCA AKADEMICKI ; 
OporÛw;PLEWA KRZYSZTOF  ;58;åREDNIE ; 
OporÛw;PRZYSTAWA PAWE£ MARIAN ;29;WYØSZE ; 
OporÛw;SARNIAK W£ODZIMIERZ  ;73;NAUCZYCIEL AKADEMICKI ; 
OporÛw;WIåLICKA KARINA JULIA ;19;STUDENT ; 
OporÛw;WOLSKI JAKUB JACEK ;21;STUDENT ; 
Osobowice - RÍdzin;ADAMCZYK HANNA BARBARA ;33;PEDAGOG SPECJALNY-TERAPEUTA ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;BASIAK WALDEMAR JACEK ;38;INFORMATYK ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;B£ASZKIEWICZ ARTUR  ;50;ELEKTRONIK ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;CYMANEK ANDRZEJ DARIUSZ ;54;åREDNIE TECHNICZNE ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;DUBIK KRZYSZTOF  W£ODZIMIERZ ;48;WYØSZE ; 
Osobowice - RÍdzin;DUBIS IGOR £UKASZ ;30;WYØSZE ; 
Osobowice - RÍdzin;GONET PIOTR KRZYSZTOF ;38;åREDNIE ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;KAJDANOWICZ TOMASZ JAN ;34;NAUCZYCIEL AKADEMICKI ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;KIERAKOWICZ PAWE£  ;18;UCZE— ;FUNDACJA M£ODA RP 
Osobowice - RÍdzin;KOWALSKA MONIKA IWONA ;41;DZIENNIKARZ ; 
Osobowice - RÍdzin;KR”LEWICZ MACIEJ RADOS£AW ;36;MGR INØ. TECHNIK JAKOåCI ; 
Osobowice - RÍdzin;KUèNIACKI ARTUR  ;53;INØYNIER ELEKTRYK ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;NAWROT JOANNA IZABELA ;49;HANDLOWIEC ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;NAWROT MAREK PIOTR ;53;RZEèBIARZ-MODELARZ ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;NOGIE∆ KRZYSZTOF KONRAD ;40;INFORMATYK ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;PARYS £UKASZ  ;33;åREDNIE ; 
Osobowice - RÍdzin;PREå ANNA KATARZYNA ;33;åREDNIE ; 
Osobowice - RÍdzin;SIETKIEWICZ PIOTR  ;28;INØYNIER KONSTRUKTOR ; 
Osobowice - RÍdzin;SITARZ DARIUSZ PIOTR ;44;åREDNIE ; 
Osobowice - RÍdzin;SPYCHA£A SYLWIA EWA ;38;WYØSZE ; 
Osobowice - RÍdzin;SUWARA MAREK  ;29;WYØSZE ; 
Osobowice - RÍdzin;ØEBRU— ANNA  ;39;WYØSZE ;KIERUNEK OSOBOWICE 
Osobowice - RÍdzin;GONCIARZ HANNA  ;41;WYØSZE ; 
Osobowice - RÍdzin;ØYGAD£O DANUTA  ;68;WYØSZE ; 
Paw≥owice;BIENIAS ALEKSANDRA ANNA ;34;WYØSZE ; 
Paw≥owice;BILI—SKI TADEUSZ MARCELI ;75;MECHANIK SAMOLOTOWY ; 
Paw≥owice;BOGUSZ MARZENA  ;45;WYØSZE EKONOMISTA ; 
Paw≥owice;CIESIELSKA GABRIELA  ;40;OPIEKUN MEDYCZNY ; 
Paw≥owice;GRUSZKO MARCIN JERZY ;42;ADWOKAT ; 
Paw≥owice;JAKIEL ANNA MARIA ;47;WYØSZE ;BEZPARTYJNY WROC£AW 
Paw≥owice;JAKIEL KAROLINA ANNA ;18;STUDENT ;BEZPARTYJNY WROC£AW 
Paw≥owice;JAKUBIK WOJCIECH TADEUSZ ;47;åREDNIE ; 
Paw≥owice;KAMI—SKA LIDIA MARIA ;72;WYØSZE ;BEZPARTYJNY WROC£AW 
Paw≥owice;KSI•ØEK BOGUS£AW ANDRZEJ ;39;WYØSZE PRAWNIK ; 
Paw≥owice;KUCZAJ ANDRZEJ MARIAN ;29;WYØSZE ;BEZPARTYJNY WROC£AW 
Paw≥owice;£ASKAWIEC JERZY MIECZYS£AW ;67;INØYNIER ; 
Paw≥owice;MACUSKI RADOS£AW  ;40;INØYNIER åRODOWISKA ; 
Paw≥owice;MAZUR MAREK TOMASZ ;45;PRACOWNIK TECHNICZNY ASP ; 
Paw≥owice;NOJEK EWA HELENA ;43;LEKARZ ;BEZPARTYJNY WROC£AW 
Paw≥owice;ORZECHOWSKI JACEK PAWE£ ;49;WYØSZE ;BEZPARTYJNY WROC£AW 
Paw≥owice;PAJDOWSKI MAREK GRZEGORZ ;47;WYØSZE ;BEZPARTYJNY WROC£AW 
Paw≥owice;PAWE£KIEWICZ ZBIGNIEW STANIS£AW ;42;MGR INØ. ELEKTRONIK ; 
Paw≥owice;PYRCZ MARTA  ;43;WYØSZE ; 
Paw≥owice;SKRABUT-KONDERLA MAGDALENA ANNA ;39;KIEROWNIK PROJEKT”W ; 
Paw≥owice;SZCZYPKA-MARCINIAK BEATA MA£GORZATA ;54;WYØSZE ;BEZPARTYJNY WROC£AW 
Paw≥owice;TOKAR KLAUDIA MARIA ;24;WYØSZE ;BEZPARTYJNY WROC£AW 
Paw≥owice;ZIGLEWSKI RAFA£  ;48;ADWOKAT ; 
Pilczyce - KozanÛw - Popowice P≥n.;CHMURA EMILIA  ;37;EKONOMISTA ;PILCZYCE TO MOJE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;GRABOWSKA JADWIGA  ;68;FILOLOG ;PILCZYCE TO MOJE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;HORSKI ANDRZEJ  ;72;WYØSZE ;MIESZKA—CY ULICY SZKLARSKIEJ 
Pilczyce - KozanÛw - Popowice P≥n.;KATARZY—SKA BARBARA WANDA ;57;NAUCZYCIEL ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;KUZIA RYSZARD KRZYSZTOF ;57;åREDNIE ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;LITO—SKA STAWIREJ ANNA  ;54;ARCHITEKT KRAJOBRAZU ;STAWIREJ 
Pilczyce - KozanÛw - Popowice P≥n.;MACA£A HENRYK JAN ;65;WYØSZE ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;MITKIEWICZ JERZY BRONIS£AW ;66;TECHNIK MECHANIK ;PILCZYCE TO MOJE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;POSTAWA KONRAD  ;29;INFORMATYK ;PILCZYCE TO MOJE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;SKRZYPIEC ARTUR  ;39;MGR INØ. TELEKOMUNIKACJI ; 
Pilczyce - KozanÛw - Popowice P≥n.;GLIBOWSKI MAREK TADEUSZ ;62;CUKIERNIK ; 
Pilczyce - KozanÛw - Popowice P≥n.;K£OSI—SKI RAFA£  ;40;PLASTYK ;NASZE OSIEDLE
Pilczyce - KozanÛw - Popowice P≥n.;MA£YS WALDEMAR  ;60;TRENER SPORTOWY ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;SZCZUROWSKI WIES£AW EDWARD ;60;POLITOLOG ; 
Pilczyce - KozanÛw - Popowice P≥n.;SZOPA W£ADYS£AW  ;61;EKONOMISTA ;NASZE OSIEDLE
Pilczyce - KozanÛw - Popowice P≥n.;BUDZISZ MARCIN PAWE£ ;36;WYØSZE ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;CHLEBI—SKA JANINA  ;68;åREDNIE EKONOMICZNE ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;FR•CZEK BOØENA MA£GORZATA ;49;GEOLOG ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;HUMI—SKI EDWARD  ;74;MGR INØ. ELEKTRYK ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;LEWICKI MAREK WALDEMAR ;44;åREDNIE-TECHNICZNE ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;ZATO— STANIS£AW JERZY ;71;INØYNIER G”RNIK ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;BIDZI—SKI J”ZEF  ;72;ELEKTROMECHANIK ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;CZAPNIK HALINA  ;69;ELEKTROMECHANIK ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;CZARNECKA IWONA BARBARA ;46;TECHNIK ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;GO£ BIOWSKI RAJMUND MARIA ;72;INØYNIER ELEKTRYK ;POPOWICE LUBI  TO 
Pilczyce - KozanÛw - Popowice P≥n.;HORMA—SKI WIES£AW STANIS£AW ;70;TECHNIK G”RNIK ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;KRZEMI—SKA-BORECKA IWONA  ;40; ; 
Pilczyce - KozanÛw - Popowice P≥n.;MINIEWSKA MARIA TERESA ;69;TECHNOLOG ØYWIENIA ;POPOWICE LUBI  TO 
Pilczyce - KozanÛw - Popowice P≥n.;MISIEC GRAØYNA  ;68;TECHNIK BUDOWLANY ;POPOWICE LUBI  TO 
Pilczyce - KozanÛw - Popowice P≥n.;SZPALERSKI DAMIAN ANDRZEJ ;28;BEZPIECZE—STWO NARODOWE ; 
Pilczyce - KozanÛw - Popowice P≥n.;WELC ANDRZEJ PRZEMYS£AW ;36;MAGISTER EKONOMII ;POPOWICE LUBI  TO 
Pilczyce - KozanÛw - Popowice P≥n.;GARNCAREK-ZARZYCKA EWA  ;51;REFERENT ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;KAP£ON TOMASZ MIROS£AW ;66;DZIENNIKARZ ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;NOWACKA KRYSTYNA  ;63;TRENER SPORTOWY ;POPOWICE LUBI  TO 
Pilczyce - KozanÛw - Popowice P≥n.;S£OWIKOWSKA MARTA AGNIESZKA ;38;EKONOMISTA ;POPOWICE LUBI  TO 
Pilczyce - KozanÛw - Popowice P≥n.;WALAT ELØBIETA WIES£AWA ;64;åREDNIE ;NASZE OSIEDLE 
Pilczyce - KozanÛw - Popowice P≥n.;Ø£OBI—SKA-PERLICKA MARIA  ;70;HANDLOWIEC ;POPOWICE LUBI  TO 
Plac Grunwaldzki;DORNA DANUTA ANNA ;57;GEODETA ; 
Plac Grunwaldzki;HARASNA HALINA  ;55;URZ DNIK PA—STWOWY ; 
Plac Grunwaldzki;JELONKIEWICZ PIOTR JERZY ;35;PROGRAMISTA ; 
Plac Grunwaldzki;JOSIAK GRAØYNA HANNA ;68;PRAWNIK ; 
Plac Grunwaldzki;KRUSZEWSKI DARIUSZ ZENON ;42;SOCJOLOG ; 
Plac Grunwaldzki;LEWANDOWSKI MACIEJ JANUSZ ;70;ELEKTRONIK ; 
Plac Grunwaldzki;OS£AWSKI BART£OMIEJ STANIS£AW ;65;PRAWNIK ; 
Plac Grunwaldzki;RYCHTER RYSZARD ANDRZEJ ;61;MECHANIK ; 
Plac Grunwaldzki;SENICKA KINGA ELIZA ;39;ADMINISTRATOR ; 
Plac Grunwaldzki;SURMAN DOROTA J”ZEFA ;44;MAGISTER BIBLIOTEKARZ ; 
Plac Grunwaldzki;W•SIK ADRIAN WIKTOR ;22;STUDENT ; 
Plac Grunwaldzki;WOJTECZKO GABRIELA GRAØYNA ;61;EKONOMISTA ; 
Plac Grunwaldzki;ZIENKIEWICZ ALEKSANDRA MA£GORZATA ;32;WYØSZE ;TOWARZYSTWO UPI KSZANIA MIASTA WROC£AWIA 
Plac Grunwaldzki;ØURAWSKA ANNA MA£GORZATA ;65;ELEKTRONIK ; 
Plac Grunwaldzki;BOJCZUK IRENA  ;73;åREDNIE ; 
Plac Grunwaldzki;CZARNECKI JAN BOGUS£AW ;75;INØYNIER MECH. ; 
Plac Grunwaldzki;JANKOWSKA MARIA  ;65;EKONOMISTA KSI GOWA ;OSIEDLOWI ZAPALE—CY I WANDA ZIEMBICKA-HAS 
Plac Grunwaldzki;JAWORSKI ADAM  ;61;TECHNIK BUDOWLANY ; 
Plac Grunwaldzki;KURTYKA ANDRZEJ PAWE£ ;63;BUDOWLANE ; 
Plac Grunwaldzki;LITWA MARIAN  ;70;MECHANIK PRECYZYJNY ;OSIEDLOWI ZAPALE—CY I WANDA ZIEMBICKA-HAS 
Plac Grunwaldzki;£ SKA-TARCZY—SKA IZABELA MARIA ;62;WYØSZE ; 
Plac Grunwaldzki;MERWI—SKA WANDA  ;42;PEDAGOG ;OSIEDLOWI ZAPALE—CY I WANDA ZIEMBICKA-HAS 
Plac Grunwaldzki;PAWELEC BOØENA  ;54;TECHNIK ANALITYKI MEDYCZNEJ ; 
Plac Grunwaldzki;RONDZISTY JULIA TERESA ;60;KSI GOWA ;OSIEDLOWI ZAPALE—CY I WANDA ZIEMBICKA-HAS 
Plac Grunwaldzki;TUCZY—SKA KRYSTYNA JADWIGA ;69;PIEL GNIARKA ; 
Plac Grunwaldzki;ZIEMBICKA-HAS WANDA WIES£AWA ;69;DZIENNIKARZ, PEDAGOG ;OSIEDLOWI ZAPALE—CY I WANDA ZIEMBICKA-HAS 
Polanowice - PoúwiÍtne - Ligota;BRYDA EUGENIUSZ HIPOLIT ;62;KIEROWCA ; 
Polanowice - PoúwiÍtne - Ligota;DMITRUK DOROTA  ;52;FRYZJER ; 
Polanowice - PoúwiÍtne - Ligota;GRODZICKA MARIA  ;70;ZASADNICZE ; 
Polanowice - PoúwiÍtne - Ligota;KAWECKA ZOFIA  ;59;NAUCZYCIEL ; 
Polanowice - PoúwiÍtne - Ligota;KONEWECKA-MA£EK JOANNA EWA ;46;KSI GOWA ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;KONEWECKI RYSZARD MIECZYS£AW ;74;WYØSZE ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;KUCMUS BART£OMIEJ PIOTR ;29;INØYNIER BUDOWNICTWA ; 
Polanowice - PoúwiÍtne - Ligota;MACIEJEWSKA MA£GORZATA EWA ;56;PRZEDSI BIORCA ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;MA£EK BOGUSZ KRZYSZTOF ;49;LEKARZ ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;MASKOS BEATA  ;51;KSI GOWA ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;M•KOLSKI KRZYSZTOF TADEUSZ ;65;INØYNIER ARCHITEKT ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;NOWICKA MARZENNA MA£GORZATA ;56;EKONOMISTKA ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;NOWICKI MICHA£  ;21;STUDENT ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;PALINGER MA£GORZATA  ;50;åREDNIE ; 
Polanowice - PoúwiÍtne - Ligota;PASIKOWSKA ANNA MAGDALENA ;56;NAUCZYCIEL ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;PASZKOWSKI STANIS£AW  ;60;INØYNIER ARCHITEKT ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;PAWLIK MELANIA WITA ;88;EMERYT ; 
Polanowice - PoúwiÍtne - Ligota;PIE—KO KATARZYNA  ;74;EMERYT ; 
Polanowice - PoúwiÍtne - Ligota;SALOMON £UKASZ ARTUR ;35;LEKARZ ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;S£AWI—SKI LES£AW TOMASZ ;55;PRZEDSI BIORCA ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;STANKIEWICZ ADAM ZBIGNIEW ;76;åREDNIE ; 
Polanowice - PoúwiÍtne - Ligota;STA—CZYK JOANNA  ;46;PRZEDSI BIORCA ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;STA—CZYK MACIEJ KACPER ;26;INØYNIER ;ZIELONY WROC£AW 
Polanowice - PoúwiÍtne - Ligota;ST•CEL EMILIA  ;59;HANDLOWIEC ; 
Polanowice - PoúwiÍtne - Ligota;SZA£OWSKA BOØENA ALICJA ;69;RENCISTKA ; 
Polanowice - PoúwiÍtne - Ligota;åWITALSKA ELØBIETA TERESA ;71;NAUCZYCIEL ; 
Polanowice - PoúwiÍtne - Ligota;WOLNIEWICZ MARIA  ;63;WYØSZE ;ZIELONY WROC£AW 
PowstaÒcÛw ålπskich;BEREZA MICHA£  ;75;ZAWODOWE ;NASZE OSIEDLE 
PowstaÒcÛw ålπskich;KRYSZCZUK BOGUS£AW MARIAN ;67;NAUCZYCIEL ;WROC£AWSKIE FORUM SAMORZ•DOWE 
PowstaÒcÛw ålπskich;LUBICZ MISZEWSKI KRZYSZTOF BRONIS£AW ;73;GEOLOG ;WROC£AWSKIE FORUM SAMORZ•DOWE 
PowstaÒcÛw ålπskich;MALINA JAN  ;79;INØYNIER ELEKTRYK ;NASZE OSIEDLE 
PowstaÒcÛw ålπskich;STOPA JOLANTA JADWIGA ;64;EMERYT ; 
PowstaÒcÛw ålπskich;SZPARA MAREK  ;37;KIEROWNIK APTEKI ; 
PowstaÒcÛw ålπskich;WILK MARTYNA ANITA ;32;POLITOLOG ; 
PowstaÒcÛw ålπskich;BARTOLD TAMARA DOROTA ;61;WYØSZE PEDAGOGICZNE ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;EKERT-TYSZEWICZ ANNA EWA ;39;EKONOMISTA ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;MALUCHNIK KAROL  ;29;PRZEDSI BIORCA  ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;PRZYBYSZEWSKI ADAM ROMUALD ;55;MELIORANT ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;RAI—CZUK MACIEJ  ;31;PROJEKTANT ; 
PowstaÒcÛw ålπskich;SAMEK WIES£AW JAROS£AW ;59;WYØSZE ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;DRATWA STANIS£AW  ;79;INØYNIER ;WROC£AWSKIE FORUM SAMORZ•DOWE 
PowstaÒcÛw ålπskich;FILI—SKI RYSZARD MICHA£ ;65;INØYNIER ;WROC£AWSKIE FORUM SAMORZ•DOWE 
PowstaÒcÛw ålπskich;HERTMAN MATEUSZ  ;34;W£ASNA DZIA£ALNOå∆ ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;LASOTA MA£GORZATA IRENA ;34;WYØSZE ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;POBIEGUN KRYSTYNA STANIS£AWA ;73;KSI GOWA ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;POTRAC DARIUSZ ROBERT ;52;KUCHARZ - TECHNOLOG ZDROWEGO ØYWIENIA ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;REPCZY—SKA - WILDEMAN ALEKSANDRA LUCYNA ;63;EMERYT ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;BIELA—SKI KRZYSZTOF ANDRZEJ ;30;PRACOWNIK BIUROWY ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;GRABOWSKI ANTONI ZBIGNIEW ;58;RENCISTA ; 
PowstaÒcÛw ålπskich;JASNOWSKA BARBARA IRENA ;31;åREDNIE ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;KACZMAREK MARCIN  ;34;WYØSZE ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;KWIATKOWSKI MICHA£ STANIS£AW ;29;URZ DNIK PA—STWOWY ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;MENDOCHA STANIS£AW ZYGMUNT ;80;INØYNIER ;WROC£AWSKIE FORUM SAMORZ•DOWE 
PowstaÒcÛw ålπskich;PA£KA LESZEK WOJCIECH EDWARD ;66;LEKARZ SPECJALISTA MEDYCYNY RODZINNEJ ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;R KAWICZNA KINGA ZUZANNA ;35;HISTORYK ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
PowstaÒcÛw ålπskich;TERLECKI TADEUSZ FILIP ;42;TECHNIK CH£ODNICTWA ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
Pracze OdrzaÒskie;BASZAK J”ZEF MICHA£ ;63;ZAWODOWE ; 
Pracze OdrzaÒskie;B•K MIECZYS£AW  ;65;ZAWODOWE ; 
Pracze OdrzaÒskie;CHASZCZEWSKI JAN  ;68;ZAWODOWE ; 
Pracze OdrzaÒskie;CISOWSKA HELENA  ;69;ZAWODOWE ; 
Pracze OdrzaÒskie;DUTCZAK ANNA STANIS£AWA ;75;ZAWODOWE ; 
Pracze OdrzaÒskie;KUCHARSKI LESZEK  ;67;ZAWODOWE ; 
Pracze OdrzaÒskie;RAWSKA JUSTYNA JADWIGA ;37;åREDNIE ; 
Pracze OdrzaÒskie;RAWSKI HENRYK ZBIGNIEW ;71;ZAWODOWE ; 
Pracze OdrzaÒskie;SIELECKI MARCIN PIOTR ;37;WYØSZE ; 
Pracze OdrzaÒskie;SZEWCZYK HENRYK  ;64;KIEROWCA ; 
Pracze OdrzaÒskie;ZAWARTKA JOANNA  ;37;WYØSZE ; 
Pracze OdrzaÒskie;GRODECKI SEBASTIAN  ;38;åREDNIE ;GRUPA WYBORC”W POPRAWA OSIEDLA 
Pracze OdrzaÒskie;KAROLCZUK ADAM STANIS£AW ;65;WYØSZE ; 
Pracze OdrzaÒskie;MIåKIEWICZ JADWIGA JOLANTA ;67;åREDNIE ; 
Pracze OdrzaÒskie;PASIECZNY WOJCIECH PIOTR ;38;åREDNIE ; 
Pracze OdrzaÒskie;W”JCIAK JANINA  ;70;PODSTAWOWE ; 
Przedmieúcie åwidnickie;D•BROWSKA HALINA MARIA ;68;HANDLOWIEC ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;GA£•ZKA KRYSTYNA  ;69;HANDLOWIEC ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;GAZDA ANNA KATARZYNA ;37;PRCOWNIK SAMORZ•DOWY ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;JAGIE££O PAWE£ JACEK ;24;PRAWNIK ; 
Przedmieúcie åwidnickie;KUBOWICZ ZBIGNIEW  ;37;AUTOMATYK INØYNIER ;BEZPARTYJNY WROC£AW 
Przedmieúcie åwidnickie;LEWANDOWSKI WIKTOR MIRON ;36;WYØSZE ;BEZPARTYJNY WROC£AW 
Przedmieúcie åwidnickie;£”J MARIA FRANCISZKA ;59;PEDAGOG ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;MUSZY—SKA AGNIESZKA SYLWIA ;38;NAUCZYCIEL ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;SZCZEPANIAK MAGDALENA  ;67;CHEMIK ;KOMITET WYBORCZY PRZEDMIEåCIE åWIDNICKIE 
Przedmieúcie åwidnickie;SZKUP TERESA  ;78;TECHNICZNE-EKONOMISTKA ; 
Przedmieúcie åwidnickie;åNIADY ROBERT REMIGIUSZ ;35;WYØSZE ; 
Przedmieúcie åwidnickie;WARDECKA LIDIA  ;60;CHEMIK ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Przedmieúcie åwidnickie;WOJCIECHOWSKA DANUTA  ;63;EMERYTKA ; 
Przedmieúcie åwidnickie;ZIELEZI—SKI MARIUSZ PAWE£ ;24;DORADCA GOSPODARCZY ; 
